country,cases,deaths,recovered,mortality_rate
USA,111820082,1219487,109814428,1.090579597321347
India,45035393,533570,0,1.1847792690517878
France,40138560,167642,39970918,0.41765823188475126
Germany,38828995,183027,38240600,0.47136682265405017
Brazil,38743918,711380,36249161,1.8361075408016299
S. Korea,34571873,35934,34535939,0.10393998612687255
Japan,33803572,74694,0,0.2209648140143296
Italy,26723249,196487,26361218,0.7352661347428225
UK,24910387,232112,24678275,0.9317880127675254
Russia,24124215,402756,23545818,1.6695092462075969
